,State,id_country,log_S,lat_S,category,1_period,2_period,3_period,4_period,5_period,6_period,7_period,8_period,9_period,10_period,primary,secondary,tertiary,quaternary
1552,Battambang Province,30,103.23171364274523,12.9256791,Den,31,29,92,13,46,78,22,27,94,82,20,92,90,75
1553,Battambang Province,30,103.23171364274523,12.9256791,Allo,12,51,99,69,26,44,20,72,18,18,57,97,15,22
1554,Battambang Province,30,103.23171364274523,12.9256791,Nat,64,29,95,76,56,66,21,28,29,39,53,28,22,54
1555,Battambang Province,30,103.23171364274523,12.9256791,Vet,72,91,38,27,16,55,15,20,10,26,42,90,38,33
1556,Battambang Province,30,103.23171364274523,12.9256791,Ene,27,23,89,25,91,40,79,27,60,53,43,68,44,87
1557,Battambang Province,30,103.23171364274523,12.9256791,hom,63,60,24,33,35,87,59,92,82,45,92,48,97,57
1558,Battambang Province,30,103.23171364274523,12.9256791,Tra,22,32,21,74,10,44,90,26,74,25,43,75,15,34
1559,Battambang Province,30,103.23171364274523,12.9256791,Una,10,34,51,10,40,49,96,87,84,29,68,42,66,75
1560,Kampot Province,30,104.132637,10.6314754,Ayu,87,14,33,84,89,84,43,48,60,16,84,72,91,32
1561,Kampot Province,30,104.132637,10.6314754,Chi,49,98,50,39,69,85,42,33,99,33,89,60,26,22
1562,Kampot Province,30,104.132637,10.6314754,Den,49,97,42,70,46,91,33,39,64,57,84,76,64,92
1563,Kampot Province,30,104.132637,10.6314754,Allo,72,30,45,51,62,11,98,40,74,79,76,56,63,76
1564,Kampot Province,30,104.132637,10.6314754,Nat,66,63,20,90,81,96,36,78,49,59,48,58,16,65
1565,Kampot Province,30,104.132637,10.6314754,Vet,95,92,78,45,86,21,15,14,63,71,55,45,46,87
1566,Kampot Province,30,104.132637,10.6314754,Ene,66,91,33,28,86,43,71,58,68,69,74,76,59,63
1567,Kampot Province,30,104.132637,10.6314754,hom,41,74,67,93,41,99,53,22,79,39,11,33,65,12
1568,Kampot Province,30,104.132637,10.6314754,Tra,72,64,86,17,26,33,23,74,59,59,79,86,73,96
1569,Kampot Province,30,104.132637,10.6314754,Una,78,92,50,91,28,21,11,82,61,56,69,50,16,31
1570,Phnom Penh,30,81.45465485,20.242402275,Ayu,98,46,60,39,20,27,30,39,20,84,21,82,15,19
1571,Phnom Penh,30,81.45465485,20.242402275,Chi,69,20,22,39,28,91,18,61,39,99,75,41,84,62
1572,Phnom Penh,30,81.45465485,20.242402275,Den,32,31,23,42,50,83,95,38,48,86,94,52,98,89
1573,Phnom Penh,30,81.45465485,20.242402275,Allo,24,82,56,40,14,99,20,88,97,29,33,31,17,76
1574,Phnom Penh,30,81.45465485,20.242402275,Nat,68,80,56,63,57,99,20,25,21,49,47,70,60,15
1575,Phnom Penh,30,81.45465485,20.242402275,Vet,62,32,99,65,38,69,89,73,20,12,14,82,98,53
1576,Phnom Penh,30,81.45465485,20.242402275,Ene,78,54,10,17,48,27,70,42,83,59,50,30,45,39
1577,Phnom Penh,30,81.45465485,20.242402275,hom,32,64,15,51,73,12,39,81,36,48,11,44,35,76
1578,Phnom Penh,30,81.45465485,20.242402275,Tra,89,90,41,20,25,72,54,99,64,20,29,92,59,43
1579,Phnom Penh,30,81.45465485,20.242402275,Una,43,78,23,66,55,80,21,89,91,48,46,95,54,99
1580,Siem Reap Province,30,103.8590321,13.3617562,Ayu,40,49,71,76,16,28,54,70,61,86,81,30,17,19
1581,Siem Reap Province,30,103.8590321,13.3617562,Chi,29,11,33,56,25,67,58,85,37,28,46,37,23,13
1582,Siem Reap Province,30,103.8590321,13.3617562,Den,87,30,41,29,10,84,27,97,24,26,81,68,17,72
1583,Siem Reap Province,30,103.8590321,13.3617562,Allo,80,40,83,30,36,61,48,66,44,21,54,42,50,50
1584,Siem Reap Province,30,103.8590321,13.3617562,Nat,44,61,27,34,20,41,33,46,58,34,24,61,14,24
1585,Siem Reap Province,30,103.8590321,13.3617562,Vet,67,26,16,87,35,73,92,93,69,99,27,98,92,61
1586,Siem Reap Province,30,103.8590321,13.3617562,Ene,31,39,94,24,11,59,50,81,96,51,64,49,76,28
1587,Siem Reap Province,30,103.8590321,13.3617562,hom,83,64,37,20,86,18,54,48,59,61,42,33,27,10
1588,Siem Reap Province,30,103.8590321,13.3617562,Tra,51,95,47,52,75,96,97,42,30,38,88,88,94,79
1589,Siem Reap Province,30,103.8590321,13.3617562,Una,97,93,30,46,90,88,42,69,78,60,90,48,82,36
1590,Adamawa,133,12.583422140378277,8.1529577625,Ayu,94,80,78,60,12,31,94,93,11,56,16,71,72,86
1591,Adamawa,31,12.583422140378277,8.1529577625,Chi,77,60,68,11,18,46,85,78,66,87,98,41,83,27
1592,Adamawa,31,12.583422140378277,8.1529577625,Den,68,25,75,46,17,83,28,44,23,32,66,79,54,27
1593,Adamawa,31,12.583422140378277,8.1529577625,Allo,17,22,92,10,83,50,13,87,36,34,11,13,17,71
1594,Adamawa,31,12.583422140378277,8.1529577625,Nat,69,23,78,22,67,65,46,82,28,37,67,79,61,83
1595,Adamawa,133,12.583422140378277,8.1529577625,Vet,76,34,60,60,60,90,96,72,20,91,98,53,49,60
1596,Adamawa,31,12.583422140378277,8.1529577625,Ene,93,79,44,25,13,16,94,26,21,43,93,99,11,25
1597,Adamawa,31,12.583422140378277,8.1529577625,hom,22,26,38,19,67,92,68,70,58,58,75,76,71,13
1598,Adamawa,133,12.583422140378277,8.1529577625,Tra,23,81,48,81,51,13,93,42,68,39,44,44,28,13
1599,Adamawa,133,12.583422140378277,8.1529577625,Una,43,45,77,38,50,27,88,91,33,69,39,37,43,41
1600,Adamawa,133,12.583422140378277,8.1529577625,Ayu,53,47,84,71,52,63,34,84,14,71,43,38,72,36
1601,Adamawa,31,12.583422140378277,8.1529577625,Chi,71,42,89,47,94,30,12,80,73,74,54,97,98,23
1602,Adamawa,133,12.583422140378277,8.1529577625,Den,33,50,88,20,47,68,38,64,75,68,39,32,94,49
1603,Adamawa,133,12.583422140378277,8.1529577625,Allo,80,34,98,86,69,54,76,78,10,75,52,12,37,92
1604,Adamawa,133,12.583422140378277,8.1529577625,Nat,40,59,72,94,86,80,91,83,81,89,81,91,14,82
1605,Adamawa,133,12.583422140378277,8.1529577625,Vet,48,68,38,79,84,96,85,26,17,90,37,93,51,69
1606,Adamawa,31,12.583422140378277,8.1529577625,Ene,23,64,73,12,73,34,95,55,68,51,38,86,79,27
1607,Adamawa,31,12.583422140378277,8.1529577625,hom,57,11,65,23,62,30,92,39,44,41,58,52,31,74
1608,Adamawa,133,12.583422140378277,8.1529577625,Tra,12,24,99,87,51,17,88,60,20,69,68,77,72,96
1609,Adamawa,31,12.583422140378277,8.1529577625,Una,26,69,86,72,31,49,14,37,96,98,42,62,43,80
1610,East,31,11.0480288,46.3144754,Ayu,14,39,11,32,86,17,64,58,70,30,96,83,92,94
1611,East,31,11.0480288,46.3144754,Chi,55,36,80,88,33,36,79,64,40,10,44,62,78,58
1612,East,31,11.0480288,46.3144754,Den,10,96,98,61,38,86,86,16,82,93,31,87,25,60
1613,East,31,11.0480288,46.3144754,Allo,65,57,50,52,11,87,84,20,13,12,91,52,36,40
1614,East,31,11.0480288,46.3144754,Nat,87,63,40,94,49,50,29,86,14,99,76,35,67,56
1615,East,31,11.0480288,46.3144754,Vet,81,53,76,10,64,17,92,58,46,18,70,64,96,10
1616,East,31,11.0480288,46.3144754,Ene,67,19,30,23,72,26,50,82,27,99,15,59,36,16
1617,East,31,11.0480288,46.3144754,hom,49,47,10,99,52,47,30,96,16,29,74,44,42,67
1618,East,31,11.0480288,46.3144754,Tra,82,77,95,40,66,26,20,56,91,32,59,18,18,39
1619,East,31,11.0480288,46.3144754,Una,75,82,18,56,92,58,23,74,99,90,11,17,87,92
1620,Littoral,31,9.6855874,4.062575300000001,Ayu,75,59,49,44,39,19,53,37,64,45,18,70,55,49
1621,Littoral,31,9.6855874,4.062575300000001,Chi,57,74,43,61,88,97,47,37,42,96,52,10,31,38
1622,Littoral,31,9.6855874,4.062575300000001,Den,75,93,23,10,17,47,57,68,79,34,20,25,17,38
1623,Littoral,31,9.6855874,4.062575300000001,Allo,39,96,87,31,84,93,89,37,91,11,50,51,32,47
1624,Littoral,31,9.6855874,4.062575300000001,Nat,29,16,80,84,93,72,26,31,31,10,46,79,99,97
1625,Littoral,31,9.6855874,4.062575300000001,Vet,45,61,41,92,65,49,34,87,87,94,90,90,62,28
1626,Littoral,31,9.6855874,4.062575300000001,Ene,23,60,93,81,26,81,23,82,17,41,61,31,74,21
1627,Littoral,31,9.6855874,4.062575300000001,hom,52,26,79,24,90,91,75,83,69,54,28,49,69,64
1628,Littoral,31,9.6855874,4.062575300000001,Tra,31,58,60,46,62,17,59,91,58,83,42,19,62,33
1629,Littoral,31,9.6855874,4.062575300000001,Una,74,64,19,30,89,15,19,11,39,22,78,53,87,80
1630,Northwest,31,10.41921465,6.0861503,Ayu,29,22,29,56,71,67,91,12,13,80,90,41,75,89
1631,Northwest,31,10.41921465,6.0861503,Chi,35,54,26,11,70,46,78,93,41,45,63,72,45,50
1632,Northwest,31,10.41921465,6.0861503,Den,43,62,24,11,98,42,84,70,90,15,55,71,34,69
1633,Northwest,31,10.41921465,6.0861503,Allo,79,24,87,82,95,30,40,74,83,39,97,31,90,41
1634,Northwest,31,10.41921465,6.0861503,Nat,81,87,94,17,82,29,93,69,10,10,84,40,20,53
1635,Northwest,31,10.41921465,6.0861503,Vet,97,91,95,94,61,52,50,15,68,10,91,29,44,59
1636,Northwest,31,10.41921465,6.0861503,Ene,85,72,75,86,39,64,37,58,95,58,24,32,43,59
1637,Northwest,31,10.41921465,6.0861503,hom,78,91,55,17,38,33,36,10,53,60,73,88,40,54
1638,Northwest,31,10.41921465,6.0861503,Tra,59,42,49,13,42,22,74,80,53,97,87,57,38,63
1639,Northwest,31,10.41921465,6.0861503,Una,28,10,66,61,75,78,56,50,71,90,18,29,44,99
1640,Southwest,31,-11.11000150214086,8.1389990375,Ayu,18,77,78,12,12,47,12,42,34,25,27,92,58,30
1641,Southwest,31,-11.11000150214086,8.1389990375,Chi,39,39,92,61,56,44,38,58,96,59,55,45,64,83
1642,Southwest,31,-11.11000150214086,8.1389990375,Den,20,36,40,78,51,29,75,43,23,52,57,93,52,67
1643,Southwest,31,-11.11000150214086,8.1389990375,Allo,79,68,80,83,98,96,30,73,63,83,14,75,75,32
1644,Southwest,31,-11.11000150214086,8.1389990375,Nat,64,37,24,91,38,71,19,75,40,26,37,28,27,92
1645,Southwest,31,-11.11000150214086,8.1389990375,Vet,11,44,83,25,14,18,88,85,35,29,62,55,66,25
1646,Southwest,31,-11.11000150214086,8.1389990375,Ene,85,54,27,26,33,85,58,52,46,70,15,95,78,60
1647,Southwest,31,-11.11000150214086,8.1389990375,hom,58,85,16,61,16,86,28,10,58,46,16,99,62,36
1648,Southwest,31,-11.11000150214086,8.1389990375,Tra,33,69,28,77,70,20,70,99,47,82,97,18,60,21
1649,Southwest,31,-11.11000150214086,8.1389990375,Una,39,90,22,44,43,44,13,25,33,80,96,57,52,30
1650,West,31,10.4215565,5.4758083,Ayu,99,66,88,38,68,32,64,35,49,65,84,60,47,89
1651,West,31,10.4215565,5.4758083,Chi,80,95,21,55,86,86,34,30,22,92,84,80,71,80
1652,West,31,10.4215565,5.4758083,Den,46,11,35,36,20,19,32,48,13,42,66,76,43,16
1653,West,31,10.4215565,5.4758083,Allo,11,31,60,27,73,48,63,13,85,11,15,63,99,83
1654,West,31,10.4215565,5.4758083,Nat,78,49,82,31,52,79,69,70,76,27,80,12,39,37
1655,West,31,10.4215565,5.4758083,Vet,56,61,14,19,23,99,37,80,31,96,71,33,29,42
1656,West,31,10.4215565,5.4758083,Ene,68,32,55,19,52,27,69,63,92,60,81,98,88,60
1657,West,31,10.4215565,5.4758083,hom,65,36,74,90,95,11,92,48,39,53,85,31,22,43
1658,West,31,10.4215565,5.4758083,Tra,66,70,27,51,97,17,73,89,22,75,12,64,67,49
1659,West,31,10.4215565,5.4758083,Una,37,46,72,31,47,87,70,51,80,95,59,78,49,45
1660,Alberta,32,-113.85577533333333,51.95942363333334,Ayu,95,13,29,92,10,50,93,79,37,23,48,31,76,28
1661,Alberta,32,-113.85577533333333,51.95942363333334,Chi,72,41,72,60,48,15,54,14,38,27,26,50,25,39
1662,Alberta,32,-113.85577533333333,51.95942363333334,Den,49,40,48,55,12,33,37,80,68,37,74,14,18,63
1663,Alberta,32,-113.85577533333333,51.95942363333334,Allo,92,99,86,33,84,57,71,14,58,55,28,40,34,61
1664,Alberta,32,-113.85577533333333,51.95942363333334,Nat,95,70,66,95,93,49,25,32,57,81,18,76,16,14
1665,Alberta,32,-113.85577533333333,51.95942363333334,Vet,65,32,10,32,35,50,24,57,33,10,39,22,15,86
1666,Alberta,32,-113.85577533333333,51.95942363333334,Ene,60,96,76,74,88,93,38,81,30,75,43,76,85,85
1667,Alberta,32,-113.85577533333333,51.95942363333334,hom,75,71,92,24,97,74,74,37,27,73,48,54,88,92
1668,Alberta,32,-113.85577533333333,51.95942363333334,Tra,86,58,92,13,11,11,66,44,54,34,49,24,72,77
1669,Alberta,32,-113.85577533333333,51.95942363333334,Una,91,10,96,33,17,96,13,64,11,33,79,47,87,45
1670,British Columbia,32,-67.08536121022583,46.81419972,Ayu,15,77,86,29,26,55,21,98,38,78,93,21,61,58
1671,British Columbia,32,-67.08536121022583,46.81419972,Chi,89,13,33,37,78,38,78,53,64,51,16,49,27,47
1672,British Columbia,32,-67.08536121022583,46.81419972,Den,95,48,45,73,84,92,18,61,13,61,51,65,69,83
1673,British Columbia,32,-67.08536121022583,46.81419972,Allo,30,35,53,39,59,55,90,83,27,13,99,23,23,17
1674,British Columbia,32,-67.08536121022583,46.81419972,Nat,21,85,24,23,50,40,21,61,21,33,37,89,97,14
1675,British Columbia,32,-67.08536121022583,46.81419972,Vet,64,87,77,48,79,11,36,79,32,65,43,89,80,84
1676,British Columbia,32,-67.08536121022583,46.81419972,Ene,48,76,87,36,12,63,87,63,50,57,21,59,88,69
1677,British Columbia,32,-67.08536121022583,46.81419972,hom,47,23,93,18,20,72,74,71,83,37,43,25,33,74
1678,British Columbia,32,-67.08536121022583,46.81419972,Tra,34,20,45,11,56,54,18,69,92,13,49,34,30,61
1679,British Columbia,32,-67.08536121022583,46.81419972,Una,15,76,70,88,37,96,21,76,87,36,70,24,14,43
1680,Manitoba,32,-97.1384584,49.8955367,Ayu,17,97,19,73,64,23,36,64,87,72,55,86,85,14
1681,Manitoba,32,-97.1384584,49.8955367,Chi,53,10,12,97,50,27,24,61,78,56,78,81,45,33
1682,Manitoba,32,-97.1384584,49.8955367,Den,83,26,62,74,43,29,67,57,64,99,85,92,67,31
1683,Manitoba,32,-97.1384584,49.8955367,Allo,14,71,29,35,86,62,33,59,32,10,63,16,17,44
1684,Manitoba,32,-97.1384584,49.8955367,Nat,72,74,57,19,77,60,47,40,11,98,29,32,82,27
1685,Manitoba,32,-97.1384584,49.8955367,Vet,90,91,74,10,62,59,60,91,20,65,88,16,30,31
1686,Manitoba,32,-97.1384584,49.8955367,Ene,51,70,90,69,90,48,12,68,30,35,13,32,90,85
1687,Manitoba,32,-97.1384584,49.8955367,hom,59,27,73,33,63,65,68,12,34,74,55,57,42,19
1688,Manitoba,32,-97.1384584,49.8955367,Tra,12,98,10,20,26,59,89,65,71,90,30,26,44,47
1689,Manitoba,32,-97.1384584,49.8955367,Una,46,18,20,36,47,80,96,49,44,83,52,93,28,35
1690,Nova Scotia,32,-63.5859487,44.648618,Ayu,36,43,10,70,36,27,84,56,68,92,52,22,54,35
1691,Nova Scotia,32,-63.5859487,44.648618,Chi,58,38,14,91,79,56,71,99,33,88,66,51,58,30
1692,Nova Scotia,32,-63.5859487,44.648618,Den,53,43,98,82,66,67,86,35,57,92,73,13,90,48
1693,Nova Scotia,32,-63.5859487,44.648618,Allo,17,21,43,41,32,18,82,43,87,13,22,72,81,69
1694,Nova Scotia,32,-63.5859487,44.648618,Nat,73,75,56,57,83,87,30,64,70,71,69,50,12,84
1695,Nova Scotia,32,-63.5859487,44.648618,Vet,39,32,98,59,21,44,30,38,25,41,38,75,27,93
1696,Nova Scotia,32,-63.5859487,44.648618,Ene,74,23,39,84,40,25,63,98,25,62,65,91,42,27
1697,Nova Scotia,32,-63.5859487,44.648618,hom,61,40,93,47,10,97,12,82,65,40,34,12,94,66
1698,Nova Scotia,32,-63.5859487,44.648618,Tra,46,25,92,36,71,72,44,62,11,19,41,21,99,90
1699,Nova Scotia,32,-63.5859487,44.648618,Una,39,30,21,26,24,11,14,68,46,24,86,62,46,95
1700,Ontario,32,-56.63561666902827,46.30656804285714,Ayu,74,20,99,50,61,71,24,31,50,75,29,96,25,63
1701,Ontario,32,-56.63561666902827,46.30656804285714,Chi,91,70,80,90,53,53,99,50,75,13,94,19,90,27
1702,Ontario,32,-56.63561666902827,46.30656804285714,Den,98,31,16,20,39,67,74,73,36,47,51,54,26,63
1703,Ontario,32,-56.63561666902827,46.30656804285714,Allo,85,24,19,39,69,72,91,70,20,75,30,42,16,83
1704,Ontario,32,-56.63561666902827,46.30656804285714,Nat,31,59,14,20,98,56,50,97,59,45,29,45,73,56
1705,Ontario,32,-56.63561666902827,46.30656804285714,Vet,90,67,34,85,72,84,37,23,89,51,74,91,90,55
1706,Ontario,32,-56.63561666902827,46.30656804285714,Ene,30,73,78,24,49,92,53,69,86,34,96,41,96,35
1707,Ontario,32,-56.63561666902827,46.30656804285714,hom,65,82,74,49,37,26,13,50,85,70,52,73,31,98
1708,Ontario,32,-56.63561666902827,46.30656804285714,Tra,46,35,59,87,98,20,44,51,61,75,39,86,13,21
1709,Ontario,32,-56.63561666902827,46.30656804285714,Una,64,39,99,25,70,90,15,13,85,24,47,38,80,19
1710,Prince Edward Island,32,-4.75,50.416667,Ayu,42,19,63,66,28,60,59,72,23,93,80,56,62,97
1711,Prince Edward Island,32,-4.75,50.416667,Chi,11,55,99,91,63,13,44,97,57,35,35,76,94,23
1712,Prince Edward Island,32,-4.75,50.416667,Den,68,94,33,48,10,82,95,97,87,37,87,87,88,54
1713,Prince Edward Island,32,-4.75,50.416667,Allo,65,30,22,70,16,39,44,50,64,52,82,96,89,47
1714,Prince Edward Island,32,-4.75,50.416667,Nat,60,32,27,57,98,13,15,47,63,82,37,40,35,23
1715,Prince Edward Island,32,-4.75,50.416667,Vet,63,48,75,67,41,36,93,26,22,28,91,68,22,65
1716,Prince Edward Island,32,-4.75,50.416667,Ene,17,47,32,56,64,13,32,29,46,81,49,64,23,26
1717,Prince Edward Island,32,-4.75,50.416667,hom,97,54,45,61,20,67,51,92,58,33,43,93,37,62
1718,Prince Edward Island,32,-4.75,50.416667,Tra,27,40,81,94,56,38,95,87,65,89,23,96,36,35
1719,Prince Edward Island,32,-4.75,50.416667,Una,10,96,78,73,41,18,33,29,43,75,36,38,90,79
1720,Quebec,32,-73.5698065,45.5031824,Ayu,92,79,53,58,30,71,30,11,31,92,14,22,93,36
1721,Quebec,32,-73.5698065,45.5031824,Chi,60,71,82,58,93,81,63,62,49,36,52,99,52,82
1722,Quebec,32,-73.5698065,45.5031824,Den,83,53,47,58,24,50,32,16,82,20,15,35,56,29
1723,Quebec,32,-73.5698065,45.5031824,Allo,52,83,71,52,14,22,23,48,44,37,28,76,32,15
1724,Quebec,32,-73.5698065,45.5031824,Nat,16,54,33,95,21,71,34,67,34,48,14,51,89,81
1725,Quebec,32,-73.5698065,45.5031824,Vet,97,17,54,11,77,69,74,31,34,69,80,71,53,22
1726,Quebec,32,-73.5698065,45.5031824,Ene,63,88,25,11,12,96,90,72,68,12,32,18,98,44
1727,Quebec,32,-73.5698065,45.5031824,hom,13,33,30,86,60,44,37,97,49,43,49,17,22,24
1728,Quebec,32,-73.5698065,45.5031824,Tra,48,78,12,30,13,37,97,37,19,12,44,85,53,12
1729,Quebec,32,-73.5698065,45.5031824,Una,32,99,75,62,42,50,61,38,79,20,98,77,24,33
1730,Boa Vista,33,-22.9169213,16.1759912,Ayu,27,27,83,72,23,59,93,27,59,35,23,91,22,69
1731,Boa Vista,33,-22.9169213,16.1759912,Chi,95,66,45,94,59,74,36,47,59,33,54,40,16,25
1732,Boa Vista,33,-22.9169213,16.1759912,Den,95,25,15,52,44,18,91,72,99,26,69,23,35,40
1733,Boa Vista,33,-22.9169213,16.1759912,Allo,64,82,33,90,96,17,30,57,41,86,80,27,63,11
1734,Boa Vista,33,-22.9169213,16.1759912,Nat,39,52,98,10,63,27,31,86,96,98,79,49,32,18
1735,Boa Vista,33,-22.9169213,16.1759912,Vet,26,88,24,37,50,70,11,24,51,64,93,49,95,56
1736,Boa Vista,33,-22.9169213,16.1759912,Ene,71,41,48,87,71,48,99,17,26,30,28,78,73,79
1737,Boa Vista,33,-22.9169213,16.1759912,hom,47,47,44,55,27,19,47,25,80,59,55,94,21,25
1738,Boa Vista,33,-22.9169213,16.1759912,Tra,41,74,53,23,62,13,14,14,32,77,61,93,37,81
1739,Boa Vista,33,-22.9169213,16.1759912,Una,38,52,53,20,28,35,41,67,88,43,11,55,37,59
1740,Porto Novo,33,2.6253361,6.4990718,Ayu,86,59,91,34,40,91,76,54,88,22,95,22,56,65
1741,Porto Novo,33,2.6253361,6.4990718,Chi,98,33,63,36,89,35,19,67,26,90,39,61,87,67
1742,Porto Novo,33,2.6253361,6.4990718,Den,41,83,14,24,12,62,89,77,83,56,19,46,66,40
1743,Porto Novo,33,2.6253361,6.4990718,Allo,38,84,18,74,58,75,80,14,63,80,96,70,70,37
1744,Porto Novo,33,2.6253361,6.4990718,Nat,19,62,44,21,45,82,49,94,25,86,13,16,14,73
1745,Porto Novo,33,2.6253361,6.4990718,Vet,31,53,56,80,94,20,31,54,44,75,36,10,52,31
1746,Porto Novo,33,2.6253361,6.4990718,Ene,90,12,23,52,26,63,59,47,79,63,38,41,72,75
1747,Porto Novo,33,2.6253361,6.4990718,hom,61,93,71,36,68,13,59,95,53,28,23,10,10,69
1748,Porto Novo,33,2.6253361,6.4990718,Tra,96,56,27,37,20,53,75,13,43,46,55,14,76,87
1749,Porto Novo,33,2.6253361,6.4990718,Una,55,91,74,89,21,12,75,23,42,84,54,10,76,86
1750,Praia,33,-23.5095095,14.9162811,Ayu,37,18,51,41,23,53,38,67,94,82,19,77,56,30
1751,Praia,33,-23.5095095,14.9162811,Chi,82,32,84,39,77,11,77,95,13,88,58,57,56,68
1752,Praia,33,-23.5095095,14.9162811,Den,11,81,80,67,62,14,85,75,36,20,18,97,32,87
1753,Praia,33,-23.5095095,14.9162811,Allo,11,11,15,75,72,34,97,26,78,65,16,56,88,75
1754,Praia,33,-23.5095095,14.9162811,Nat,41,24,17,53,90,86,96,50,19,54,91,31,86,89
1755,Praia,33,-23.5095095,14.9162811,Vet,34,97,80,54,31,73,11,86,56,43,56,61,38,49
1756,Praia,33,-23.5095095,14.9162811,Ene,58,59,87,86,23,71,41,18,26,65,89,65,45,73
1757,Praia,33,-23.5095095,14.9162811,hom,28,19,68,66,47,54,16,55,15,20,30,96,46,15
1758,Praia,33,-23.5095095,14.9162811,Tra,37,71,79,81,90,93,12,75,94,35,25,44,27,10
1759,Praia,33,-23.5095095,14.9162811,Una,79,63,39,74,48,53,47,64,15,96,64,28,80,85
1760,Ribeira Grande,33,-25.5194914,37.8225227,Ayu,30,42,38,20,13,56,18,79,19,38,64,94,80,41
1761,Ribeira Grande,33,-25.5194914,37.8225227,Chi,35,10,39,92,11,86,10,67,52,36,41,81,82,85
1762,Ribeira Grande,33,-25.5194914,37.8225227,Den,47,16,25,31,24,79,91,12,12,38,55,79,23,19
1763,Ribeira Grande,33,-25.5194914,37.8225227,Allo,80,90,59,39,76,86,86,77,82,73,18,98,56,81
1764,Ribeira Grande,33,-25.5194914,37.8225227,Nat,13,36,62,58,77,53,88,24,71,69,14,17,45,40
1765,Ribeira Grande,33,-25.5194914,37.8225227,Vet,49,33,65,85,13,26,33,14,67,38,21,80,33,19
1766,Ribeira Grande,33,-25.5194914,37.8225227,Ene,18,22,66,18,71,60,92,31,12,32,25,46,46,46
1767,Ribeira Grande,33,-25.5194914,37.8225227,hom,51,52,43,54,21,34,64,94,76,64,45,14,54,90
1768,Ribeira Grande,33,-25.5194914,37.8225227,Tra,92,60,87,37,31,19,78,35,49,41,44,82,21,65
1769,Ribeira Grande,33,-25.5194914,37.8225227,Una,62,43,67,89,87,47,50,93,15,78,11,77,49,75
1770,Sal,33,-38.3750334,-6.46412645,Ayu,33,68,67,44,71,11,69,92,46,64,48,55,87,34
1771,Sal,33,-38.3750334,-6.46412645,Chi,14,87,89,65,17,93,92,59,54,49,33,46,60,62
1772,Sal,33,-38.3750334,-6.46412645,Den,80,82,88,66,52,62,25,40,11,16,11,76,45,18
1773,Sal,33,-38.3750334,-6.46412645,Allo,77,70,69,26,91,42,33,85,35,84,95,87,71,83
1774,Sal,33,-38.3750334,-6.46412645,Nat,93,47,78,45,69,20,77,90,24,33,78,27,43,22
1775,Sal,33,-38.3750334,-6.46412645,Vet,67,45,50,28,36,89,28,19,42,93,24,53,70,51
1776,Sal,33,-38.3750334,-6.46412645,Ene,45,60,69,49,11,89,59,76,98,57,80,88,74,48
1777,Sal,33,-38.3750334,-6.46412645,hom,66,35,89,13,50,12,91,31,68,76,86,41,23,82
1778,Sal,33,-38.3750334,-6.46412645,Tra,50,19,64,66,62,29,53,48,84,63,53,25,99,75
1779,Sal,33,-38.3750334,-6.46412645,Una,46,46,67,76,62,59,79,24,32,34,64,23,47,30
1780,Sao Vicente,33,-24.9863842,16.8874145,Ayu,64,13,78,77,37,40,93,32,71,17,25,84,30,27
1781,Sao Vicente,33,-24.9863842,16.8874145,Chi,39,18,60,80,60,69,29,67,29,85,39,40,71,11
1782,Sao Vicente,33,-24.9863842,16.8874145,Den,66,81,58,33,69,28,26,83,42,12,24,66,30,96
1783,Sao Vicente,33,-24.9863842,16.8874145,Allo,61,81,58,90,33,76,48,34,68,36,76,81,35,31
1784,Sao Vicente,33,-24.9863842,16.8874145,Nat,11,99,80,74,42,46,84,76,42,57,38,99,20,30
1785,Sao Vicente,33,-24.9863842,16.8874145,Vet,16,67,62,18,43,99,19,33,45,84,60,64,45,32
1786,Sao Vicente,33,-24.9863842,16.8874145,Ene,47,27,23,32,73,37,70,61,56,61,43,19,10,26
1787,Sao Vicente,33,-24.9863842,16.8874145,hom,35,47,62,19,80,78,52,60,98,49,90,39,28,54
1788,Sao Vicente,33,-24.9863842,16.8874145,Tra,99,22,72,29,31,67,90,84,35,73,38,36,52,24
1789,Sao Vicente,33,-24.9863842,16.8874145,Una,16,62,80,66,66,37,43,22,44,69,62,95,44,81
1790,Tarrafal,33,-23.72273385069002,15.26645025,Ayu,13,98,24,71,86,50,18,51,42,89,10,33,61,87
1791,Tarrafal,33,-23.72273385069002,15.26645025,Chi,84,15,48,79,66,73,37,15,72,70,31,14,72,90
1792,Tarrafal,33,-23.72273385069002,15.26645025,Den,83,59,45,87,15,24,52,81,70,89,67,60,34,85
1793,Tarrafal,33,-23.72273385069002,15.26645025,Allo,76,70,32,82,91,94,91,41,69,46,20,43,13,32
1794,Tarrafal,33,-23.72273385069002,15.26645025,Nat,40,69,11,51,13,82,19,33,50,47,80,55,67,35
1795,Tarrafal,33,-23.72273385069002,15.26645025,Vet,63,27,41,96,35,27,45,22,27,85,95,66,53,61
1796,Tarrafal,33,-23.72273385069002,15.26645025,Ene,47,44,51,25,19,31,23,81,74,18,62,84,89,85
1797,Tarrafal,33,-23.72273385069002,15.26645025,hom,19,15,41,29,45,15,36,44,31,90,32,32,80,10
1798,Tarrafal,33,-23.72273385069002,15.26645025,Tra,21,14,73,80,70,30,43,98,14,15,36,77,81,48
